RMSE,AUC,TjurR2
0.4277920823916732,0.7720987654320988,0.16613803351347456
0.40937080690371536,0.7894605394605395,0.2167987825752431
0.456969417425712,0.6411088911088911,0.040651996581150596
0.46143896129555034,0.691003616636528,0.10581713462078546
0.4658233483676966,0.7128888888888889,0.0937932383876453
0.3553717697358469,0.7762762762762763,0.11328183573800396
0.36322507822437816,0.7092391304347826,0.05149691675138293
0.3048797676961478,0.8354935194416749,0.11572240134390856
0.27867790767844747,0.8266078184110971,0.08134384354218883
0.3389846154291161,0.764828738512949,0.0998511683853903
0.29345099007475306,0.7703659976387249,0.05636013003803998
0.20209971902090884,0.9185267857142857,0.12021866634932868
0.20116314303665292,0.8669250645994832,0.046292949932751314
0.24177384977670127,0.7134038800705467,0.05288320425208476
0.11947064709664452,0.9368686868686869,0.26189103308342204
