RMSE,AUC,TjurR2
0.44343626529393537,0.725072463768116,0.12260472548572243
0.43519364627943685,0.7299824663939217,0.14463138845114754
0.46599901576598746,0.6284153005464481,0.03629641817155316
0.463627099942198,0.6937973997833152,0.09004857795902177
0.47608464371647163,0.67,0.07082220688450519
0.34637883967776933,0.7647614548889938,0.10569662688292028
0.35736754295987955,0.6882896015549077,0.0403119807689899
0.3371467981249845,0.7927927927927928,0.10657011550524387
0.2977213714709468,0.8441075514874142,0.18195375067048614
0.32671226869690045,0.8012390294269489,0.11953503591152978
0.2829419722992819,0.783693224125093,0.06710943937398887
0.2017040284897443,0.9123159303882196,0.1184400912478474
0.17902202326279967,0.854043392504931,0.03765799302767692
0.2361661593359416,0.7599778270509978,0.04794155989225378
0.10448977612931028,0.9593023255813954,0.260932976114432
