region,altitude,surface,parcelle_active,plante_reference,climat,typo_pays_principale,typo_pays_secondaire,bassin_prod_principal,bassin_prod_secondaire,topographie,plan_eau,exposition,orientation_vent,enclave,corridor,drain,biogeoregions,seqnum,hex_area,CLC,CHELSA_tas,CHELSA_spi12
ILE-DE-FRANCE,100,0.01,1,Salade,Semi-oceanique,Paysage mixte,Paysage mixte,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,0,0,,1072235,95977942.2699123,3,7.59615468978882,-272.176451914409
GRAND-EST,115,0.06,1,Vigne,Semi-continental nord,Open field,Paysage mixte,Bassin viticole,Bassin viticole,Haut de coteau,0,Plein soleil,Ouest,0,1,0,,1075166,95977942.4509305,21,6.87012344845653,-272.361477823652
BRETAGNE,108,6,1,Mais,Oceanique,Bocage a dominante polyculture elevage,Information inconnue,Zone de polyculture-elevage,Zone de polyculture-elevage,Haut de coteau,0,Plein soleil,Ouest,0,1,0,,637125,95977942.1836644,21,8.36394044124719,-273.600966389974
CENTRE-VAL DE LOIRE,146,19,0,Ble,Semi-oceanique a semi-continental,Open field,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,1,1,1,,1065667,95977942.152333,21,7.21226694769488,-272.640662278958
CENTRE-VAL DE LOIRE,170,11.5,1,Mais,Semi-oceanique a semi-continental,Open field,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,0,0,,1064936,95977942.1309913,21,7.11706215464426,-272.685092948868
CENTRE-VAL DE LOIRE,150,10.94,1,Mais,Semi-oceanique a semi-continental,Open field,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,0,0,,1066397,95977942.1662558,21,7.23756700718897,-272.614427555242
GRAND-EST,211,20.79,1,Mais,Semi-continental nord,Open field,Open field,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,1,0,,1096323,95977943.0123053,21,6.39048129036313,-272.623750050863
ILE-DE-FRANCE,106,7.86,1,Ble,Semi-oceanique,Open field,Paysage mixte,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,0,0,,1072241,95977942.3261082,21,7.09058864256915,-272.188882625804
ILE-DE-FRANCE,120,4.27,1,Ble,Semi-oceanique,Open field,Open field,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,0,1,,1072970,95977942.3337673,21,7.02066607960684,-272.160303355691
CENTRE-VAL DE LOIRE,126,7.07,1,Mais,Semi-oceanique,Open field,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,1,0,,1067850,95977942.1386468,21,7.74280773379846,-272.800955766689
CENTRE-VAL DE LOIRE,100,13.18,1,Ble,Semi-oceanique,Open field,Open field,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,1,0,,1067110,95977942.0521053,21,8.17605037111224,-273.417759935784
NOUVELLE-AQUITAINE,36,3.81,1,Vigne,Oceanique a semi oceanique sud,Paysage mixte,Information inconnue,Bassin viticole,Bassin viticole,Plaine,0,Plein soleil,Ouest,0,0,0,,1064901,95977941.9026551,21,9.38062725067139,-273.374311637878
NOUVELLE-AQUITAINE,164,3.25,0,Ble,Oceanique a semi oceanique sud,Bocage a dominante polyculture elevage,Information inconnue,Zone de polyculture-elevage,Zone de polyculture-elevage,Plateau,0,Plein soleil,Sud-Ouest,0,1,0,,1063455,95977162.2353748,21,8.10644236664099,-274.031409702418
NOUVELLE-AQUITAINE,157,6.07,1,Ble,Oceanique a semi oceanique sud,Bocage a dominante polyculture elevage,Information inconnue,Zone de polyculture-elevage,Zone de polyculture-elevage,Plateau,0,Plein soleil,Sud-Ouest,0,1,0,,1064185,95977941.9745242,21,8.18765006830663,-273.923953774535
GRAND-EST,91,10,1,Ble,Semi-continental nord,Open field,Paysage mixte,Zone de polyculture-elevage,Zone de polyculture-elevage,Plaine,0,Plein soleil,Sud-Ouest,0,1,0,,1075172,95977942.5175182,21,6.52586534105498,-272.747874292834
HAUTS-DE-FRANCE,84,4.15,1,Ble,Oceanique,Open field,Open field,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Sud-Ouest,0,1,0,,1070793,95977942.4093919,21,6.75519678358398,-273.491849689814
CENTRE-VAL DE LOIRE,123,4.5,1,Ble,Semi-oceanique a semi-continental,Open field,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plateau,0,Plein soleil,Sud-Ouest,0,0,0,,1068582,95977942.1684132,21,7.6499880630813,-272.676411702961
