site,BIODICAPT_ID,conduite,culture,network,seqnum,hex_area,CLC,CHELSA_tas,CHELSA_spi12
,BVD_24,CONVENTIONNELLE,verger,DYNAFOR,1102839,95977942.4554327,3,8.58660105162976,-274.838885139017
,BVD_25,AB,verger,DYNAFOR,1102109,95977942.433972,3,9.18653974777613,-274.808459159655
,BVD_26,AB,verger,DYNAFOR,1099920,95977942.3842545,24,10.7240487352202,-274.766708374023
,BVD_27,AB,verger,DYNAFOR,1100649,95977942.3925841,24,10.7453945561459,-274.795919317948
,BVD_28,CONVENTIONNELLE,verger,DYNAFOR,1100649,95977942.3925841,24,10.7453945561459,-274.795919317948
,BVD_29,AB,verger,DYNAFOR,1100649,95977942.3925841,24,10.7453945561459,-274.795919317948
,BVD_30,AB,verger,DYNAFOR,1100650,95977942.4044504,22,10.606857461867,-274.800782646229
,BVD_31,AB,verger,DYNAFOR,1101379,95977942.413024,22,10.4977697992021,-274.82127040207
,BVD_32,CONVENTIONNELLE,verger,DYNAFOR,1101379,95977942.413024,22,10.4977697992021,-274.82127040207
,BVD_33,AB,verger,DYNAFOR,1101378,95977942.401014,3,10.1241945205196,-274.762322801159
,BVD_34,AB,verger,DYNAFOR,1100650,95977942.4044504,22,10.606857461867,-274.800782646229
,BVD_35,AB,verger,DYNAFOR,1101379,95977942.413024,22,10.4977697992021,-274.82127040207
,,CONVENTIONNELLE,grande_culture,SCARABEE,1065665,95977942.1367741,21,7.297055496889,-272.607878741096
,,CONVENTIONNELLE,grande_culture,SCARABEE,1065665,95977942.1367741,21,7.297055496889,-272.607878741096
,,CONVENTIONNELLE,grande_culture,SCARABEE,1064936,95977942.1309913,21,7.11706215464426,-272.685092948868
,,CONVENTIONNELLE,grande_culture,SCARABEE,1064935,95977942.1233946,21,7.19276562081762,-272.668859642672
,,CONVENTIONNELLE,grande_culture,SCARABEE,1064935,95977942.1233946,21,7.19276562081762,-272.668859642672
,,CONVENTIONNELLE,grande_culture,SCARABEE,1066398,95977942.1742841,21,7.19881420696483,-272.598347742417
,,CONVENTIONNELLE,grande_culture,SCARABEE,1065668,95977942.1602029,21,7.18591839967374,-272.66048372006
,,CONVENTIONNELLE,grande_culture,SCARABEE,1065667,95977942.152333,21,7.21226694769488,-272.640662278958
,,AB,grande_culture,SCARABEE,1064211,95977942.1560618,21,7.21526114241092,-272.699523560301
,,AB,grande_culture,SCARABEE,1064212,95977942.1639362,21,7.23562166647997,-272.714793313763
,,AB,grande_culture,SCARABEE,1064211,95977942.1560618,21,7.21526114241092,-272.699523560301
,,AB,grande_culture,SCARABEE,1064939,95977942.1542148,21,7.13875235326191,-272.725799199392
,,CONVENTIONNELLE,grande_culture,SCARABEE,1064939,95977942.1542148,21,7.13875235326191,-272.725799199392
,,CONVENTIONNELLE,grande_culture,SCARABEE,1067128,95977942.1886556,21,7.16418974780472,-272.571892913277
,,CONVENTIONNELLE,grande_culture,SCARABEE,1067129,95977942.1968887,3,7.16774712229622,-272.547689765163
,,CONVENTIONNELLE,grande_culture,SCARABEE,1067860,95977942.220188,21,7.16726228169033,-272.497440156483
,,CONVENTIONNELLE,grande_culture,SCARABEE,1063483,95976702.3903689,21,7.24348452810705,-272.779169567943
,,CONVENTIONNELLE,grande_culture,SCARABEE,1064214,95977942.1798864,21,7.27874209067065,-272.831672348662
,,AB,grande_culture,SCARABEE,1066402,95977942.2071302,1,7.15481811546418,-272.659942443112
,,CONVENTIONNELLE,grande_culture,SCARABEE,1065673,95977942.2006781,21,7.1827346937997,-272.7676184518
,VCG_01,CONVENTIONNELLE,grande_culture,VCG,1081662,95977941.9524052,21,8.78725484461566,-272.835486916935
