RMSE,AUC,TjurR2
0.43044452783898496,0.7667318026380069,0.16153913252244112
0.4290710283808101,0.7252275025278059,0.14022023225578806
0.45443586704308414,0.6529322548028311,0.042022225847596406
0.4603005715625459,0.684767602393005,0.09327957614805193
0.4621355844108493,0.7209456473707467,0.11399697393561714
0.35167742743983793,0.765139751552795,0.0985243819409489
0.36828465663432636,0.6940690690690691,0.05654539672969264
0.32326159113949476,0.8157894736842105,0.10498154864448159
0.27498207328105156,0.8284993694829761,0.09189603758472474
0.3283245876655232,0.7943478260869565,0.11534041991216895
0.29278494777689695,0.782172373081464,0.06096327561142596
0.1906079128897408,0.9352678571428571,0.18653583611494146
0.20128672096588354,0.8036175710594315,0.038504538112194044
0.23353107935264064,0.7145669291338582,0.02168580013213392
0.12588824576000343,0.9318181818181818,0.19602786942392145
