RMSE,AUC,TjurR2
0.3776808644907637,0.8896766874645491,0.27279469421269426
0.3263848213007947,0.951103160405486,0.3653035966883223
0.4280681579670418,0.7897058823529411,0.1012684533378243
0.37557790056545,0.9411922663802363,0.2733222362242719
0.43504849678617,0.8260422027792074,0.1610327220590685
0.3489280664184152,0.7983230361871139,0.12115444766756586
0.3655570555966558,0.7312444836716682,0.05742641615726418
0.3040019621996813,0.8543577981651377,0.1235073370229409
0.2750687352688563,0.8458702064896755,0.09044624600693336
0.3253584287608159,0.8123138033763655,0.13830848447331326
0.29811250729400046,0.8166023166023165,0.07426309949037581
0.1944595609553144,0.9327731092436975,0.11821469865994787
0.1920946561807012,0.85,0.03531177090090847
0.23659480935075625,0.7532051282051282,0.04813797063945273
0.12197557288285994,0.9480874316939891,0.2719341648055861
