RMSE,AUC,TjurR2
0.3791087665259067,0.8876914350538854,0.2751934972338968
0.337174874353657,0.928741800834824,0.3475267478002793
0.4356422426198242,0.7344117647058823,0.0859973327933824
0.4425426308128941,0.7454350161117078,0.13860277524990194
0.4492834476642081,0.7794647452393206,0.1329409329313977
0.3524521608804103,0.7815533980582524,0.11225090458545198
0.361513211240733,0.7577228596646072,0.06867513701202663
0.3027075861383483,0.8543577981651377,0.1280949377698194
0.2736746004588885,0.8488200589970502,0.09473683944011603
0.3228854546403796,0.8187686196623635,0.14523944086565682
0.2986846079165956,0.8166023166023166,0.07314887117822333
0.19303252390995962,0.9397759103641457,0.1216309998348363
0.19174290686787557,0.8383333333333334,0.03635285027400998
0.23482397862095877,0.780982905982906,0.055086309887795254
0.12186676881414586,0.9480874316939891,0.2749079016059439
