RMSE,AUC,TjurR2
0.42634833562988345,0.7931034482758621,0.20561883775973672
0.4159766629594753,0.8014128728414442,0.20251811998593805
0.4568123427026168,0.6233660130718954,0.047111881342364326
0.4590534831989639,0.6998556998556998,0.12175990887545246
0.438921730219016,0.7790530846484935,0.16654278894416374
0.3541591099859602,0.7580645161290323,0.10312257105460176
0.3288022465123399,0.8214285714285714,0.14644428022154407
0.2751935330562973,0.8880597014925373,0.14277033411292944
0.2777283759363916,0.7542016806722689,0.06444917100487864
0.2512550444002067,0.9285714285714286,0.2064790279798475
0.24252470620454405,0.8314285714285715,0.05050050012101251
0.18304874666992216,0.9788732394366197,0.24737558919092742
0.21664099045504367,0.8415492957746479,0.061379801880684426
0.2123482107505992,0.8943661971830985,0.08587746877873198
0.14579179310951673,0.9629629629629629,0.34110690752698625
