RMSE,AUC,TjurR2
0.4365599933355524,0.7441130298273155,0.1487715474811817
0.43146369071514296,0.7355912061794415,0.15725784020766542
0.45203698629285394,0.6642156862745098,0.052279039585542475
0.464117953252054,0.6625069845408829,0.08105341904675323
0.46158915350306035,0.7244587582751834,0.11645925555292946
0.3524351442106464,0.74848,0.08838777181584187
0.3685586190087234,0.667803970223325,0.039234276000405244
0.32591111027453185,0.7826704545454546,0.11814983166534723
0.2686097347419849,0.7883211678832117,0.06314798035924232
0.34300185156291907,0.7529761904761905,0.10256087904002922
0.29489827602406965,0.7779850746268656,0.0682416330529144
0.20770760547845388,0.9234154929577465,0.10892572281786994
0.1915429550959416,0.7974537037037037,0.03502312271147499
0.2434831747864792,0.7607142857142857,0.03808663392555711
0.12025926759629549,0.9410430839002267,0.1843381930219842
