RMSE,AUC,TjurR2
0.4360108106422019,0.7549631310266591,0.14427201083262486
0.41384001989765534,0.7617769827072153,0.1785062624285959
0.4543859936846971,0.6591176470588236,0.042120238789862374
0.4610629861914521,0.6801825993555317,0.09428254583304752
0.4658018337359064,0.7141019042717447,0.09851167002192546
0.35391490708939627,0.7722859664607238,0.10836011754283545
0.36878669772981487,0.6990291262135923,0.04873070753123335
0.30596417803659665,0.8331422018348624,0.11725294511380414
0.2771668807119698,0.8237463126843658,0.08407307441590736
0.3273855847761721,0.8038728897715988,0.13248786277562496
0.30312637647670404,0.7657657657657657,0.059103597288653914
0.19625158515173832,0.9173669467787116,0.1090965452675273
0.1931816365055668,0.8266666666666667,0.029924195621266157
0.2392472384582363,0.6965811965811965,0.037085241015538783
0.12201286720336321,0.9398907103825137,0.27463970511600444
